vowels,lyrics
<bos> ia ne <eos>,<bos> 言わ んで <eos>
<bos> ne oa <eos>,<bos> んで 容赦 <eos>
<bos> oa i <eos>,<bos> 容赦 し <eos>
<bos> i a <eos>,<bos> し た <eos>
<bos> a te <eos>,<bos> た って <eos>
<bos> te a <eos>,<bos> って や <eos>
<bos> a a <eos>,<bos> や あぁ <eos>
<bos> a i <eos>,<bos> あぁ 火 <eos>
<bos> i a <eos>,<bos> 火 が <eos>
<bos> a ieu <eos>,<bos> が 消える <eos>
<bos> ieu i <eos>,<bos> 消える 火 <eos>
<bos> i a <eos>,<bos> 火 が <eos>
<bos> a i <eos>,<bos> が 火 <eos>
<bos> i a <eos>,<bos> 火 が <eos>
<bos> a ieu <eos>,<bos> が 消える <eos>
<bos> ieu oae <eos>,<bos> 消える 夜明け <eos>
<bos> oae o <eos>,<bos> 夜明け を <eos>
<bos> o aa <eos>,<bos> を 待た <eos>
<bos> aa u <eos>,<bos> 待た ず <eos>
<bos> aaiuei aai <eos>,<bos> 曲りくねり はしゃい <eos>
<bos> aai a <eos>,<bos> はしゃい だ <eos>
<bos> a ii <eos>,<bos> だ 道 <eos>
<bos> ii aoa <eos>,<bos> 道 青葉 <eos>
<bos> aoa o <eos>,<bos> 青葉 の <eos>
<bos> o oi <eos>,<bos> の 森 <eos>
<bos> oi e <eos>,<bos> 森 で <eos>
<bos> e aeaau <eos>,<bos> で 駆け回る <eos>
<bos> aeaau aoi <eos>,<bos> 駆け回る 遊び <eos>
<bos> aoi aai <eos>,<bos> 遊び まわり <eos>
<bos> aai iai <eos>,<bos> まわり 日差し <eos>
<bos> iai o <eos>,<bos> 日差し の <eos>
<bos> o ai <eos>,<bos> の 街 <eos>
<bos> ai aea <eos>,<bos> 街 誰か <eos>
<bos> aea a <eos>,<bos> 誰か が <eos>
<bos> a on <eos>,<bos> が 呼ん <eos>
<bos> on e <eos>,<bos> 呼ん で <eos>
<bos> e iu <eos>,<bos> で いる <eos>
<bos> iu au <eos>,<bos> いる 夏 <eos>
<bos> au a <eos>,<bos> 夏 が <eos>
<bos> a uu <eos>,<bos> が 来る <eos>
<bos> uu ae <eos>,<bos> 来る 影 <eos>
<bos> ae a <eos>,<bos> 影 が <eos>
<bos> a au <eos>,<bos> が 立つ <eos>
<bos> au aaa <eos>,<bos> 立つ あなた <eos>
<bos> aaa i <eos>,<bos> あなた に <eos>
<bos> i ai <eos>,<bos> に 会い <eos>
<bos> ai ai <eos>,<bos> 会い たい <eos>
<bos> ai iue <eos>,<bos> たい 見つけ <eos>
<bos> iue a <eos>,<bos> 見つけ た <eos>
<bos> a o <eos>,<bos> た の <eos>
<bos> o a <eos>,<bos> の は <eos>
<bos> a iian <eos>,<bos> は いちばん <eos>
<bos> iian oi <eos>,<bos> いちばん 星 <eos>
<bos> oi aia <eos>,<bos> 星 明日 <eos>
<bos> aia o <eos>,<bos> 明日 も <eos>
<bos> o aeu <eos>,<bos> も 晴れる <eos>
<bos> aeu a <eos>,<bos> 晴れる か <eos>
<bos> a a <eos>,<bos> か な <eos>
<bos> a auia <eos>,<bos> な パプリカ <eos>
<bos> auia aa <eos>,<bos> パプリカ 花 <eos>
<bos> aa a <eos>,<bos> 花 が <eos>
<bos> a ai <eos>,<bos> が 咲い <eos>
<bos> ai aa <eos>,<bos> 咲い たら <eos>
<bos> aa ae <eos>,<bos> たら 晴れ <eos>
<bos> ae a <eos>,<bos> 晴れ た <eos>
<bos> a oa <eos>,<bos> た 空 <eos>
<bos> oa i <eos>,<bos> 空 に <eos>
<bos> i ae <eos>,<bos> に 種 <eos>
<bos> ae o <eos>,<bos> 種 を <eos>
<bos> o ao <eos>,<bos> を 蒔こ <eos>
<bos> ao u <eos>,<bos> 蒔こ う <eos>
<bos> u aeua <eos>,<bos> う ハレルヤ <eos>
<bos> aeua ue <eos>,<bos> ハレルヤ 夢 <eos>
<bos> ue o <eos>,<bos> 夢 を <eos>
<bos> o eai <eos>,<bos> を 描い <eos>
<bos> eai a <eos>,<bos> 描い た <eos>
<bos> a aa <eos>,<bos> た なら <eos>
<bos> aa ooo <eos>,<bos> なら 心 <eos>
<bos> ooo aoa <eos>,<bos> 心 遊ば <eos>
<bos> aoa e <eos>,<bos> 遊ば せ <eos>
<bos> e aaa <eos>,<bos> せ あなた <eos>
<bos> aaa i <eos>,<bos> あなた に <eos>
<bos> i ooe <eos>,<bos> に とどけ <eos>
<bos> uto uto <eos>,<bos> ずっと ずっと <eos>
<bos> uto uto <eos>,<bos> ずっと ずっと <eos>
<bos> uto oi <eos>,<bos> ずっと 恋 <eos>
<bos> oi o <eos>,<bos> 恋 を <eos>
<bos> o i <eos>,<bos> を し <eos>
<bos> i e <eos>,<bos> し て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a oe <eos>,<bos> た これ <eos>
<bos> oe e <eos>,<bos> これ で <eos>
<bos> e aoaa <eos>,<bos> で さよなら <eos>
<bos> aoaa aaa <eos>,<bos> さよなら あなた <eos>
<bos> aaa o <eos>,<bos> あなた の <eos>
<bos> o oo <eos>,<bos> の こと <eos>
<bos> oo a <eos>,<bos> こと が <eos>
<bos> a ai <eos>,<bos> が 何 <eos>
<bos> ai oi <eos>,<bos> 何 より <eos>
<bos> oi o <eos>,<bos> より も <eos>
<bos> o aieu <eos>,<bos> も 大切 <eos>
<bos> aieu ei <eos>,<bos> 大切 でし <eos>
<bos> ei a <eos>,<bos> でし た <eos>
<bos> a ooi <eos>,<bos> た 望み <eos>
<bos> ooi oi <eos>,<bos> 望み 通り <eos>
<bos> oi o <eos>,<bos> 通り の <eos>
<bos> o oai <eos>,<bos> の 終わり <eos>
<bos> oai i <eos>,<bos> 終わり じ <eos>
<bos> ooai i <eos>,<bos> 友達 に <eos>
<bos> i ua <eos>,<bos> に すら <eos>
<bos> ua ooe <eos>,<bos> すら 戻れ <eos>
<bos> ooe ai <eos>,<bos> 戻れ ない <eos>
<bos> ai aa <eos>,<bos> ない から <eos>
<bos> aa aai <eos>,<bos> から 私 <eos>
<bos> aai oa <eos>,<bos> 私 空 <eos>
<bos> oa o <eos>,<bos> 空 を <eos>
<bos> o i <eos>,<bos> を 見 <eos>
<bos> i e <eos>,<bos> 見 て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i ai <eos>,<bos> い まし <eos>
<bos> ai a <eos>,<bos> まし た <eos>
<bos> a aio <eos>,<bos> た 最後 <eos>
<bos> aio uai <eos>,<bos> 最後 くらい <eos>
<bos> uai aa <eos>,<bos> くらい また <eos>
<bos> aa aueu <eos>,<bos> また 春めく <eos>
<bos> aueu o <eos>,<bos> 春めく よう <eos>
<bos> o a <eos>,<bos> よう な <eos>
<bos> a iei <eos>,<bos> な 綺麗 <eos>
<bos> iei a <eos>,<bos> 綺麗 な <eos>
<bos> a ao <eos>,<bos> な さよう <eos>
<bos> ao aai <eos>,<bos> さよう ならし <eos>
<bos> aai ao <eos>,<bos> ならし ましょ <eos>
<bos> ao u <eos>,<bos> ましょ う <eos>
<bos> u oe <eos>,<bos> う それ <eos>
<bos> oe a <eos>,<bos> それ は <eos>
<bos> a iu <eos>,<bos> は 水 <eos>
<bos> iu o <eos>,<bos> 水 も <eos>
<bos> o aa <eos>,<bos> も やら <eos>
<bos> aa u <eos>,<bos> やら ず <eos>
<bos> u ae <eos>,<bos> ず 枯れ <eos>
<bos> ae a <eos>,<bos> 枯れ た <eos>
<bos> a eeuaiu <eos>,<bos> た エーデルワイス <eos>
<bos> eeuaiu uoui <eos>,<bos> エーデルワイス 黒ずみ <eos>
<bos> uoui au <eos>,<bos> 黒ずみ 出す <eos>
<bos> au iiaai <eos>,<bos> 出す 耳飾り <eos>
<bos> iiaai ona <eos>,<bos> 耳飾り こんな <eos>
<bos> ona uaaai <eos>,<bos> こんな つまらない <eos>
<bos> uaaai eia <eos>,<bos> つまらない 映画 <eos>
<bos> eia ao <eos>,<bos> 映画 など <eos>
<bos> ao o <eos>,<bos> など もう <eos>
<bos> o oiai <eos>,<bos> もう おしまい <eos>
<bos> oiai a <eos>,<bos> おしまい な <eos>
<bos> a oi <eos>,<bos> な のに <eos>
<bos> o ou <eos>,<bos> の 途中 <eos>
<bos> ou e <eos>,<bos> 途中 で <eos>
<bos> e aaiu <eos>,<bos> で 悲しく <eos>
<bos> aaiu at <eos>,<bos> 悲しく なっ <eos>
<bos> at a <eos>,<bos> なっ た <eos>
<bos> a e <eos>,<bos> た ねぇ <eos>
<bos> e oo <eos>,<bos> ねぇ この <eos>
<bos> oo ooi <eos>,<bos> この 想い <eos>
<bos> ooi a <eos>,<bos> 想い は <eos>
<bos> a ai <eos>,<bos> は 何 <eos>
<bos> ai aaa <eos>,<bos> 何 あなた <eos>
<bos> aaa a <eos>,<bos> あなた が <eos>
<bos> a iue <eos>,<bos> が 見据え <eos>
<bos> iue a <eos>,<bos> 見据え た <eos>
<bos> a iai <eos>,<bos> た 未来 <eos>
<bos> iai i <eos>,<bos> 未来 に <eos>
<bos> i aai <eos>,<bos> に 私 <eos>
<bos> aai o <eos>,<bos> 私 も <eos>
<bos> o i <eos>,<bos> も 居 <eos>
<bos> i ai <eos>,<bos> 居 たい <eos>
<bos> ue o <eos>,<bos> 夢 の <eos>
<bos> o uui <eos>,<bos> の 続き <eos>
<bos> uui o <eos>,<bos> 続き を <eos>
<bos> o iu <eos>,<bos> を いつ <eos>
<bos> iu ae <eos>,<bos> いつ まで <eos>
<bos> ae o <eos>,<bos> まで も <eos>
<bos> o aai <eos>,<bos> も 探し <eos>
<bos> aai e <eos>,<bos> 探し て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a aaeu <eos>,<bos> た あまねく <eos>
<bos> aaeu ai <eos>,<bos> あまねく 町 <eos>
<bos> ai o <eos>,<bos> 町 の <eos>
<bos> o aa <eos>,<bos> の 側 <eos>
<bos> aa e <eos>,<bos> 側 で <eos>
<bos> e ua <eos>,<bos> で 揺 <eos>
<bos> u oi <eos>,<bos> う 路地 <eos>
<bos> oi ua <eos>,<bos> 路地 裏 <eos>
<bos> ua oou <eos>,<bos> 裏 広告 <eos>
<bos> oou o <eos>,<bos> 広告 を <eos>
<bos> o auae <eos>,<bos> を 携え <eos>
<bos> auae e <eos>,<bos> 携え て <eos>
<bos> e oiau <eos>,<bos> て 飛び立つ <eos>
<bos> oiau ai <eos>,<bos> 飛び立つ 紙 <eos>
<bos> ai ioi <eos>,<bos> 紙 飛行機 <eos>
<bos> ioi oo <eos>,<bos> 飛行機 何処 <eos>
<bos> oo ae <eos>,<bos> 何処 まで <eos>
<bos> ae on <eos>,<bos> まで 飛ん <eos>
<bos> on e <eos>,<bos> 飛ん で <eos>
<bos> e iu <eos>,<bos> で 行く <eos>
<bos> iu n <eos>,<bos> 行く ん <eos>
<bos> n ao <eos>,<bos> ん だろ <eos>
<bos> ao u <eos>,<bos> だろ う <eos>
<bos> u uai <eos>,<bos> う 虚し <eos>
<bos> uai a <eos>,<bos> 虚し さ <eos>
<bos> a atai <eos>,<bos> さ ばっかり <eos>
<bos> atai iue <eos>,<bos> ばっかり 見つめ <eos>
<bos> iue uueu <eos>,<bos> 見つめ 続ける <eos>
<bos> uueu o <eos>,<bos> 続ける の <eos>
<bos> o a <eos>,<bos> の は <eos>
<bos> a ae <eos>,<bos> は 誰 <eos>
<bos> ae a <eos>,<bos> 誰 か <eos>
<bos> a o <eos>,<bos> か の <eos>
<bos> o iai <eos>,<bos> の 痛み <eos>
<bos> iai i <eos>,<bos> 痛み に <eos>
<bos> i iui <eos>,<bos> に 気づき <eos>
<bos> iui aat <eos>,<bos> 気づき たかっ <eos>
<bos> aat a <eos>,<bos> たかっ た <eos>
<bos> a iaua <eos>,<bos> た ひたすら <eos>
<bos> iaua ai <eos>,<bos> ひたすら 何 <eos>
<bos> ai a <eos>,<bos> 何 か <eos>
<bos> a o <eos>,<bos> か を <eos>
<bos> o ee <eos>,<bos> を 得れ <eos>
<bos> ee a <eos>,<bos> 得れ ば <eos>
<bos> a ai <eos>,<bos> ば 何 <eos>
<bos> ai a <eos>,<bos> 何 か <eos>
<bos> a a <eos>,<bos> か が <eos>
<bos> a e <eos>,<bos> が 目 <eos>
<bos> e o <eos>,<bos> 目 の <eos>
<bos> o ae <eos>,<bos> の 前 <eos>
<bos> ae o <eos>,<bos> 前 を <eos>
<bos> o oiuiu <eos>,<bos> を 通り過ぎる <eos>
<bos> oiuiu aoaa <eos>,<bos> 通り過ぎる さよなら <eos>
<bos> aoaa aa <eos>,<bos> さよなら また <eos>
<bos> aa aeu <eos>,<bos> また 会える <eos>
<bos> aeu a <eos>,<bos> 会える か <eos>
<bos> a a <eos>,<bos> か な <eos>
<bos> a eaaaae <eos>,<bos> な 背中合わせ <eos>
<bos> eaaaae o <eos>,<bos> 背中合わせ の <eos>
<bos> o ai <eos>,<bos> の 旅 <eos>
<bos> ai a <eos>,<bos> 旅 は <eos>
<bos> a aa <eos>,<bos> は まだ <eos>
<bos> aa uui <eos>,<bos> まだ 続い <eos>
<bos> uui e <eos>,<bos> 続い て <eos>
<bos> e u <eos>,<bos> て く <eos>
<bos> u ae <eos>,<bos> く 誰 <eos>
<bos> ae o <eos>,<bos> 誰 も <eos>
<bos> o ii <eos>,<bos> も 知り <eos>
<bos> ii e <eos>,<bos> 知り 得 <eos>
<bos> e ai <eos>,<bos> 得 ない <eos>
<bos> ai iu <eos>,<bos> ない 傷 <eos>
<bos> iu a <eos>,<bos> 傷 が <eos>
<bos> a ie <eos>,<bos> が 癒え <eos>
<bos> ie u <eos>,<bos> 癒え ず <eos>
<bos> u i <eos>,<bos> ず に <eos>
<bos> i ueu <eos>,<bos> に 増える <eos>
<bos> ueu oe <eos>,<bos> 増える どうせ <eos>
<bos> oe iua <eos>,<bos> どうせ いつか <eos>
<bos> iua a <eos>,<bos> いつか は <eos>
<bos> a ae <eos>,<bos> は 風 <eos>
<bos> ae i <eos>,<bos> 風 に <eos>
<bos> i oe <eos>,<bos> に 溶け <eos>
<bos> oe ieu <eos>,<bos> 溶け 消える <eos>
<bos> ieu aa <eos>,<bos> 消える なら <eos>
<bos> aa a <eos>,<bos> なら ば <eos>
<bos> a ona <eos>,<bos> ば 今夜 <eos>
<bos> ona uai <eos>,<bos> 今夜 くらい <eos>
<bos> uai a <eos>,<bos> くらい は <eos>
<bos> a ae <eos>,<bos> は 羽 <eos>
<bos> ae a <eos>,<bos> 羽 が <eos>
<bos> a aeu <eos>,<bos> が 生える <eos>
<bos> aeu o <eos>,<bos> 生える よう <eos>
<bos> o a <eos>,<bos> よう な <eos>
<bos> a iau <eos>,<bos> な 身軽 <eos>
<bos> iau a <eos>,<bos> 身軽 さ <eos>
<bos> a a <eos>,<bos> さ が <eos>
<bos> a ii <eos>,<bos> が 君 <eos>
<bos> ii i <eos>,<bos> 君 に <eos>
<bos> i aoi <eos>,<bos> に 宿り <eos>
<bos> aoi uue <eos>,<bos> 宿り 続け <eos>
<bos> uue au <eos>,<bos> 続け ます <eos>
<bos> au o <eos>,<bos> ます よう <eos>
<bos> o i <eos>,<bos> よう に <eos>
<bos> i uue <eos>,<bos> に むくれ <eos>
<bos> uue ao <eos>,<bos> むくれ 顔 <eos>
<bos> ao o <eos>,<bos> 顔 の <eos>
<bos> o ei <eos>,<bos> の 蛇 <eos>
<bos> ei o <eos>,<bos> 蛇 も <eos>
<bos> o iui <eos>,<bos> も 気づき <eos>
<bos> iui a <eos>,<bos> 気づき は <eos>
<bos> a i <eos>,<bos> は し <eos>
<bos> i ai <eos>,<bos> し ない <eos>
<bos> ian e <eos>,<bos> 歪ん で <eos>
<bos> e iu <eos>,<bos> で 傷 <eos>
<bos> iu aae <eos>,<bos> 傷 だらけ <eos>
<bos> aae o <eos>,<bos> だらけ の <eos>
<bos> o au <eos>,<bos> の 春 <eos>
<bos> au aui <eos>,<bos> 春 麻酔 <eos>
<bos> aui o <eos>,<bos> 麻酔 も <eos>
<bos> o ua <eos>,<bos> も 打た <eos>
<bos> ua u <eos>,<bos> 打た ず <eos>
<bos> u i <eos>,<bos> ず に <eos>
<bos> i aui <eos>,<bos> に 歩い <eos>
<bos> aui a <eos>,<bos> 歩い た <eos>
<bos> a aaa <eos>,<bos> た 体 <eos>
<bos> aaa o <eos>,<bos> 体 の <eos>
<bos> o ouoo <eos>,<bos> の 奥底 <eos>
<bos> ouoo e <eos>,<bos> 奥底 で <eos>
<bos> e iiu <eos>,<bos> で 響く <eos>
<bos> iiu ii <eos>,<bos> 響く 生き <eos>
<bos> ii ai <eos>,<bos> 生き 足り <eos>
<bos> ai ai <eos>,<bos> 足り ない <eos>
<bos> ai o <eos>,<bos> ない と <eos>
<bos> o uou <eos>,<bos> と 強く <eos>
<bos> uou aa <eos>,<bos> 強く まだ <eos>
<bos> aa aiau <eos>,<bos> まだ 味わう <eos>
<bos> aiau a <eos>,<bos> 味わう さ <eos>
<bos> a ai <eos>,<bos> さ 噛み <eos>
<bos> ai oe <eos>,<bos> 噛み 終え <eos>
<bos> oe a <eos>,<bos> 終え た <eos>
<bos> a au <eos>,<bos> た ガム <eos>
<bos> au o <eos>,<bos> ガム の <eos>
<bos> o ai <eos>,<bos> の 味 <eos>
<bos> ai ae <eos>,<bos> 味 覚め <eos>
<bos> ae ie <eos>,<bos> 覚め きれ <eos>
<bos> ie ai <eos>,<bos> きれ ない <eos>
<bos> ai aa <eos>,<bos> ない まま <eos>
<bos> aa o <eos>,<bos> まま の <eos>
<bos> o ooo <eos>,<bos> の 心 <eos>
<bos> ooo e <eos>,<bos> 心 で <eos>
<bos> e iouiou <eos>,<bos> で ひとつひとつ <eos>
<bos> iouiou au <eos>,<bos> ひとつひとつ 無く <eos>
<bos> au i <eos>,<bos> 無く し <eos>
<bos> i a <eos>,<bos> し た <eos>
<bos> a ae <eos>,<bos> た 果て <eos>
<bos> ae i <eos>,<bos> 果て に <eos>
<bos> i oau <eos>,<bos> に ようやく <eos>
<bos> oau oot <eos>,<bos> ようやく 残っ <eos>
<bos> oot a <eos>,<bos> 残っ た <eos>
<bos> a oo <eos>,<bos> た もの <eos>
<bos> oo oe <eos>,<bos> もの これ <eos>
<bos> oe a <eos>,<bos> これ が <eos>
<bos> a ai <eos>,<bos> が 愛 <eos>
<bos> ai a <eos>,<bos> 愛 じゃ <eos>
<bos> a aee <eos>,<bos> じゃ なけれ <eos>
<bos> aee a <eos>,<bos> なけれ ば <eos>
<bos> a ano <eos>,<bos> ば 何と <eos>
<bos> ano ou <eos>,<bos> 何と 呼ぶ <eos>
<bos> ou o <eos>,<bos> 呼ぶ の <eos>
<bos> o a <eos>,<bos> の か <eos>
<bos> a ou <eos>,<bos> か 僕 <eos>
<bos> ou a <eos>,<bos> 僕 は <eos>
<bos> a ia <eos>,<bos> は 知ら <eos>
<bos> ia aat <eos>,<bos> 知ら なかっ <eos>
<bos> aat a <eos>,<bos> なかっ た <eos>
<bos> a oeo <eos>,<bos> た 呼べよ <eos>
<bos> oeo aa <eos>,<bos> 呼べよ 花 <eos>
<bos> aa o <eos>,<bos> 花 の <eos>
<bos> o aae <eos>,<bos> の 名前 <eos>
<bos> aae o <eos>,<bos> 名前 を <eos>
<bos> o aa <eos>,<bos> を ただ <eos>
<bos> aa iou <eos>,<bos> ただ ひとつ <eos>
<bos> iou ae <eos>,<bos> ひとつ だけ <eos>
<bos> ae aiaeu <eos>,<bos> だけ 張り裂ける <eos>
<bos> aiaeu uai <eos>,<bos> 張り裂ける くらい <eos>
<bos> uai i <eos>,<bos> くらい に <eos>
<bos> i aaai <eos>,<bos> に 鼻先 <eos>
<bos> aaai a <eos>,<bos> 鼻先 が <eos>
<bos> a ueu <eos>,<bos> が 触れる <eos>
<bos> ueu ou <eos>,<bos> 触れる 呼吸 <eos>
<bos> ou a <eos>,<bos> 呼吸 が <eos>
<bos> a oau <eos>,<bos> が 止まる <eos>
<bos> oau iai <eos>,<bos> 止まる 痛み <eos>
<bos> iai a <eos>,<bos> 痛み は <eos>
<bos> ue aa <eos>,<bos> 夢 なら <eos>
<bos> aa a <eos>,<bos> なら ば <eos>
<bos> a oeoo <eos>,<bos> ば どれほど <eos>
<bos> oeoo oat <eos>,<bos> どれほど よかっ <eos>
<bos> oat a <eos>,<bos> よかっ た <eos>
<bos> a eo <eos>,<bos> た でしょ <eos>
<bos> eo u <eos>,<bos> でしょ う <eos>
<bos> u iaai <eos>,<bos> う 未だに <eos>
<bos> iaai aaa <eos>,<bos> 未だに あなた <eos>
<bos> aaa o <eos>,<bos> あなた の <eos>
<bos> o oo <eos>,<bos> の こと <eos>
<bos> oo o <eos>,<bos> こと を <eos>
<bos> o ue <eos>,<bos> を 夢 <eos>
<bos> ue i <eos>,<bos> 夢 に <eos>
<bos> i iu <eos>,<bos> に みる <eos>
<bos> iu aue <eos>,<bos> みる 忘れ <eos>
<bos> aue a <eos>,<bos> 忘れ た <eos>
<bos> a oo <eos>,<bos> た 物 <eos>
<bos> oo o <eos>,<bos> 物 を <eos>
<bos> o oi <eos>,<bos> を 取り <eos>
<bos> oi i <eos>,<bos> 取り に <eos>
<bos> i aeu <eos>,<bos> に 帰る <eos>
<bos> aeu o <eos>,<bos> 帰る よう <eos>
<bos> o i <eos>,<bos> よう に <eos>
<bos> i uui <eos>,<bos> に 古び <eos>
<bos> uui a <eos>,<bos> 古び た <eos>
<bos> a ooie <eos>,<bos> た 思い出 <eos>
<bos> ooie o <eos>,<bos> 思い出 の <eos>
<bos> o ooi <eos>,<bos> の 埃 <eos>
<bos> ooi o <eos>,<bos> 埃 を <eos>
<bos> o aau <eos>,<bos> を 払う <eos>
<bos> aau ooa <eos>,<bos> 払う 戻ら <eos>
<bos> ooa ai <eos>,<bos> 戻ら ない <eos>
<bos> ai iaae <eos>,<bos> ない 幸せ <eos>
<bos> iaae a <eos>,<bos> 幸せ が <eos>
<bos> a au <eos>,<bos> が ある <eos>
<bos> au oo <eos>,<bos> ある こと <eos>
<bos> oo o <eos>,<bos> こと を <eos>
<bos> o aio <eos>,<bos> を 最後 <eos>
<bos> aio i <eos>,<bos> 最後 に <eos>
<bos> i aaa <eos>,<bos> に あなた <eos>
<bos> aaa a <eos>,<bos> あなた が <eos>
<bos> a oie <eos>,<bos> が 教え <eos>
<bos> oie e <eos>,<bos> 教え て <eos>
<bos> e ue <eos>,<bos> て くれ <eos>
<bos> ue a <eos>,<bos> くれ た <eos>
<bos> a ie <eos>,<bos> た 言え <eos>
<bos> ie u <eos>,<bos> 言え ず <eos>
<bos> u i <eos>,<bos> ず に <eos>
<bos> i aui <eos>,<bos> に 隠し <eos>
<bos> aui e <eos>,<bos> 隠し て <eos>
<bos> e a <eos>,<bos> て た <eos>
<bos> i ao <eos>,<bos> い 過去 <eos>
<bos> ao o <eos>,<bos> 過去 も <eos>
<bos> o aaa <eos>,<bos> も あなた <eos>
<bos> aaa a <eos>,<bos> あなた が <eos>
<bos> a i <eos>,<bos> が い <eos>
<bos> i aa <eos>,<bos> い なきゃ <eos>
<bos> aa eien <eos>,<bos> なきゃ 永遠 <eos>
<bos> eien i <eos>,<bos> 永遠 に <eos>
<bos> ia a <eos>,<bos> いま ま <eos>
<bos> a ito <eos>,<bos> ま きっと <eos>
<bos> ito o <eos>,<bos> きっと もう <eos>
<bos> o oe <eos>,<bos> もう これ <eos>
<bos> oe io <eos>,<bos> これ 以上 <eos>
<bos> io iuuu <eos>,<bos> 以上 傷つく <eos>
<bos> iuuu oo <eos>,<bos> 傷つく こと <eos>
<bos> oo ao <eos>,<bos> こと など <eos>
<bos> ao ai <eos>,<bos> など あり <eos>
<bos> ai a <eos>,<bos> あり は <eos>
<bos> a i <eos>,<bos> は し <eos>
<bos> i ai <eos>,<bos> し ない <eos>
<bos> ai o <eos>,<bos> ない と <eos>
<bos> o aat <eos>,<bos> と わかっ <eos>
<bos> aat e <eos>,<bos> わかっ て <eos>
<bos> e iu <eos>,<bos> て いる <eos>
<bos> iu ao <eos>,<bos> いる あの <eos>
<bos> ao i <eos>,<bos> あの 日 <eos>
<bos> i o <eos>,<bos> 日 の <eos>
<bos> o aaii <eos>,<bos> の 悲しみ <eos>
<bos> aaii ae <eos>,<bos> 悲しみ さえ <eos>
<bos> ae ao <eos>,<bos> さえ あの <eos>
<bos> ao i <eos>,<bos> あの 日 <eos>
<bos> i o <eos>,<bos> 日 の <eos>
<bos> o uuii <eos>,<bos> の 苦しみ <eos>
<bos> uuii ae <eos>,<bos> 苦しみ さえ <eos>
<bos> ae oo <eos>,<bos> さえ その <eos>
